Date,Channel,Pay period,Customer group,Campaign,Clicks,Impressions,Signups,FTD Count,FTD Amount,Deposits,Withdrawals,NGR,Income
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,1158,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,63,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,26,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,50,0,1,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,153,0,1,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,186,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,204,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,593,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,117,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,336,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,9,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,101,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,6,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,1,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,960,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,61,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,38,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,50,0,0,0,0,0,0,0,0.00
2026-03-17,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,217,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,318,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,443,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,152,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,342,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 160x600 - Tênis,1,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,80,0,0,0,0,0,0,0,0.00
